geoid,os_1990_total,os_1990_cem,os_1990_rec,os_1990_cons,os_1990_priv,os_1990_trail,os_1990_water,os_1990_other,os_2001_total,os_2001_cem,os_2001_rec,os_2001_cons,os_2001_priv,os_2001_trail,os_2001_water,os_2001_other,os_2005_total,os_2005_cem,os_2005_rec,os_2005_cons,os_2005_priv,os_2005_trail,os_2005_water,os_2005_other,os_2010_total,os_2010_cem,os_2010_rec,os_2010_cons,os_2010_priv,os_2010_trail,os_2010_water,os_2010_other,os_2013_total,os_2013_cem,os_2013_rec,os_2013_cons,os_2013_priv,os_2013_trail,os_2013_water,os_2013_other,id
60089,1.80864,0.01509632,0.35450338,0.02980117,0.61322353,,0.20395988,0.59205354,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,1.85998,0.00667961,0.67511635,0.12286692,0.60456639,0.00577273,0.18219184,0.26278157,1.52071,0.00555471,0.62849119,0.10592586,0.57183535,0.03651761,0.12654726,0.04583931,1.45431,0.00555352,0.63121214,0.10609167,0.57299272,0.03627445,0.05633473,0.0458492,38
60090,2.03654,,0.16422957,0.98885097,,,0.17910324,0.70435418,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,2.06619,0.00370628,0.24174108,1.02461162,,,0.22620455,0.56992628,1.42917,0.00300606,0.28946477,1.06178984,,,0.03331921,0.04159137,1.348,0.00300592,0.18062095,1.06178582,,,0.03122546,0.07136383,39
60091,1.90817,,0.19341669,0.03752318,0.32378584,,1.34155706,0.01188529,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,1.43371,0.0022544,0.27175803,0.03044992,0.33855685,,0.7700001,0.02069144,0.681148,,0.18467044,0.03880577,0.32760011,0.00377496,0.00092735,0.12536944,0.664692,,0.26549203,0.038806,0.31784998,0.00377495,0.00696436,0.0318046,40
60093,3.57291,,0.22456939,1.0143506,0.73005788,,1.53016622,0.0737641,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,2.97276,,0.28201647,1.05614466,0.64529408,,0.92397812,0.06532484,2.17961,,0.28395859,1.25692931,0.5921805,0.02216477,0.00127264,0.02310509,2.18573,,0.28398559,1.25692937,0.59217805,0.02344103,0.00626659,0.0229298,41
60101,3.11494,0.00640791,0.3613784,1.07039805,0.27200892,,0.56869435,0.83605583,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,2.61832,0.0044088,0.41897735,1.27208961,0.26182699,,0.38886998,0.27215036,2.17277,0.0056405,0.48730929,1.35760732,0.1873335,,0.00064416,0.13423389,2.22833,0.0056405,0.51778146,1.39277882,0.18733046,,0.00034944,0.12444626,42
60103,6.3056,0.00909993,0.28027116,1.81700787,0.51049469,,2.12722503,1.56149665,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,7.70282,0.01040723,0.50448015,4.81215347,0.47711821,0.02966238,0.73327133,1.13572243,6.1554,0.01031565,0.6019116,4.71509428,0.47937009,,0.00107178,0.34763648,6.16606,0.01031566,0.74461205,4.72372411,0.3393298,,0.00097768,0.34710495,43
60104,0.131231,,0.06572297,,,,,0.06550839,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,0.0655735,,0.03514179,,,,,0.03043172,0.0706014,,0.0376084,,,0.02503121,,0.00796174,0.0791905,,0.0376084,,,0.02503122,,0.01655091,44
60106,1.73854,0.01922562,0.11667625,0.18953789,0.63201726,,0.03181504,0.74926748,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,1.67248,0.01941365,0.23951842,0.2220926,0.6962353,,0.04042008,0.45479774,1.20983,0.01527583,0.29739331,0.21385437,0.61275418,,0.00054927,0.07000617,1.1917,0.01527585,0.28739372,0.20302953,0.61276282,,0.00054622,0.07268822,45
60107,2.0005,0.01015676,0.38400563,0.35968018,0.12375455,,0.32013356,0.80276899,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,1.8685,0.00167283,0.42073746,0.53618389,0.14213571,,0.27543351,0.49234091,1.08113,0.00014097,0.43777329,0.51008976,0.12732253,,0.00078883,0.00501274,1.14933,0.000141,0.44123671,0.57521918,0.12772243,,,0.00501282,46
60108,2.35715,0.00883306,0.16999919,0.46367942,0.6382003,,0.47580854,0.60062719,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,2.15214,0.00901814,0.26212421,0.55834998,0.60518623,,0.35554113,0.36192384,1.5671,0.00664204,0.25608583,0.5686287,0.6440794,0.00531062,,0.08635826,1.56883,0.00664206,0.2560234,0.57187707,0.64408611,0.00530907,,0.08489149,47
